recipe_id,recipe_name,category,servings,prep_time,cook_time,description,ingredients,instructions
1,Dosa With Fish Kolambu(Parai Fish),Non-Vegetarian,1,20,35,A South Indian dosa served with spicy parai fish kolambu,"Dosa batter, Fish Kolambu(Parai Fish), Oil",1. Prepare dosa using batter and oil\n2. Cook Parai Fish Kolambu\n3. Serve together
2,Double Omelette,Vegetarian,1,5,8,A fluffy double egg omelette with basic seasoning,"Eggs, Onion, Tomato, Spices",1. Beat eggs with salt\n2. Fry onion & tomato\n3. Pour eggs and cook
3,Egg Bhurji,Vegetarian,2,8,12,Spicy scrambled eggs with onion and tomato,"Eggs, Onion, Tomato, Green chili, Spices",1. Sauté onions & tomato\n2. Add eggs & scramble\n3. Add spices & serve
4,Egg Curry,Non-Vegetarian,3,15,25,Boiled eggs simmered in onion-tomato gravy,"Eggs, Onion, Tomato, Spices",1. Boil eggs\n2. Prepare curry base\n3. Add eggs & simmer
5,Egg Dosa,Non-Vegetarian,1,5,8,Plain dosa topped with beaten egg and spices,"Dosa batter, Eggs, Oil, Spices",1. Pour batter\n2. Add beaten egg & spices\n3. Flip & serve
6,Egg Dosa With Chicken Gravy,Non-Vegetarian,2,15,30,Dosa with egg topping served alongside chicken gravy,"Dosa batter, Eggs, Chicken gravy, Oil",1. Make egg dosa\n2. Prepare chicken gravy\n3. Serve together
7,Egg Dosa With Fish Kolambu(Parai Fish),Non-Vegetarian,2,18,32,Dosa with egg topping served with fish kolambu,"Dosa batter, Eggs, Fish Kolambu(Parai Fish), Oil",1. Cook egg dosa\n2. Serve with fish kolambu
8,Egg Fry,Non-Vegetarian,2,3,8,Simple fried eggs with spices,"Eggs, Oil, Spices",1. Heat oil\n2. Add eggs\n3. Fry with spices
9,Egg Masala,Non-Vegetarian,3,12,20,Boiled eggs in thick masala gravy,"Eggs, Onion, Tomato, Masala, Oil",1. Make masala base\n2. Add boiled eggs\n3. Cook until thick
10,Egg Podimas,Vegetarian,2,8,12,South Indian scrambled egg dish with onion and curry leaves,"Eggs, Onion, Curry Leaves, Oil, Spices",1. Sauté onions & curry leaves\n2. Add eggs & scramble\n3. Season & serve
11,2 Masala Dosa With Chicken Gravy,Non-Vegetarian,2,20,35,Masala dosa stuffed and served with chicken gravy,"Dosa batter, Chicken gravy, Potatoes, Onion, Tomato, Garlic ginger paste, Spices",1. Prepare potato masala with all spices\n2. Spread on dosa and fold\n3. Serve with chicken gravy
